config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Adaptive EKF,1,2008,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,2,3352,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,4,4734,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,4,2337,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,5,2520,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,1,12190,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,3,12464,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,1,12748,True,0.9306664425864788,0.15001784181222136,True,False,10,Coupled EKF
Adaptive EKF,5,1945,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,6,1161,True,0.8663572700947143,0.20229314626207934,True,False,10,Coupled EKF
Adaptive EKF,0,25845,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,7,1681,True,0.697015201392926,0.21208347099855707,True,False,10,Coupled EKF
Coupled EKF,4,25118,True,0.9458582943518663,0.139910558783844,True,False,10,Coupled EKF
Coupled EKF,5,20502,True,0.8481249367066522,0.21970644900797462,True,False,10,Coupled EKF
Adaptive EKF,6,25031,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,8,1022,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,8,12554,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,8,11045,True,0.9081991121846061,0.18708462535190595,True,False,10,Coupled EKF
Adaptive EKF,9,1192,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,9,12317,True,0.8837067377403761,0.18196150058368082,True,False,10,Coupled EKF
Standard EKF,2,68253,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,3,70363,True,0.9223470176110014,0.1596509003742874,True,False,10,Coupled EKF
Standard EKF,11,1137,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,10,34097,True,1.0,0.0,False,False,10,Standard EKF
