config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Signal-aware EKF,1,1078,True,0.846640865482495,0.20360116408456036,True,False,5,Signal-aware EKF
Adaptive EKF,1,1078,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,3,1327,True,0.8687628839565668,0.1953456632422308,True,False,5,Signal-aware EKF
Adaptive EKF,3,1860,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,4,1221,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,2,3150,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,5,5377,True,0.9007075941895101,0.15685788294336955,True,False,5,Signal-aware EKF
Signal-aware EKF,0,15607,True,0.9397772405897558,0.13523289299084218,True,False,5,Signal-aware EKF
Standard EKF,4,16568,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,6,1914,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,0,28989,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,7,1811,True,0.8005446121169024,0.20700014638322542,True,False,5,Signal-aware EKF
Adaptive EKF,0,30090,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,7,882,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,8,1340,True,0.8581703004901841,0.19439285621955216,True,False,5,Signal-aware EKF
Standard EKF,8,2451,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,8,1410,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,1,40262,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,9,3469,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,10,1457,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,3,55324,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,10,3040,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,2,59455,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,5,62280,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,11,17850,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,12,637,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,12,939,True,0.7773727157513791,0.22086980772443646,True,False,5,Signal-aware EKF
Signal-aware EKF,10,29477,True,0.9496027167555434,0.1234434048919875,True,False,5,Signal-aware EKF
Standard EKF,13,756,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,13,786,True,0.8327032215586601,0.20077666678169534,True,False,5,Signal-aware EKF
Standard EKF,7,61417,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,11,20167,True,0.934509105095236,0.14008863236957209,True,False,5,Signal-aware EKF
Adaptive EKF,13,8515,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,14,743,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,6,81865,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,15,4579,True,0.8507863901870131,0.1915220707613818,True,False,5,Signal-aware EKF
Adaptive EKF,15,998,True,1.0,0.0,False,True,5,Adaptive EKF
